Method,Watermark_Status,Task_ID,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,MAPE_Mean,MAPE_Std,SNR_Mean,SNR_Std,N_Trials
POS,ORIGINAL,1,4.833984375,4.309778432793327,14.460612239301945,14.076017124259387,10.517726456779894,9.640290178320544,5.837547409384419,0.5737653118424217,10
POS,ORIGINAL,2,1.26953125,0.7703228884244292,2.63671875,2.2730989707954827,2.4116844778235396,1.5534827107252784,0.0036441550034745796,0.8589247293803447,9
POS,ORIGINAL,3,0.2197265625,0.16733876453314253,0.5729767738947641,0.5400623208996397,0.36904200094384143,0.2912372593419523,4.767510475154724,0.8636351711003938,10
POS,ORIGINAL,4,4.0869140625,3.7392529029046835,12.510914805603598,12.181501585644579,7.821514173404495,7.284392524634705,2.3707012918481074,1.180945206716694,10
POS,ORIGINAL,5,0.0,0.0,0.0,0.0,0.0,0.0,5.095845833144319,1.0700299452130129,10
POS,ORIGINAL,6,5.185546875,4.55583833318203,15.31164672965421,14.886309016145717,10.132463618679111,9.286865666460072,4.7015697851006415,0.7884447639751143,10
POS,WATERMARKED,1,16.5234375,5.923071747890958,24.977024965416657,15.762561607387328,30.01022878522547,12.031110120113986,-0.504175810383388,1.1213599571209816,10
POS,WATERMARKED,2,18.75,7.614683081882003,29.553562999027715,21.940809824229213,27.666066722116796,12.509196234571178,-4.172649713835241,0.9525435270012926,9
POS,WATERMARKED,3,13.53515625,6.405411828266568,24.361721236581104,17.266713659523838,21.617151589282617,11.107402695351798,-1.6646591776594994,1.4063712602295566,10
POS,WATERMARKED,4,13.271484375,5.1255383092505244,20.94859725880987,14.548962433707088,21.583837473363833,9.611647916390806,-3.556315538673071,1.1414027690754522,10
POS,WATERMARKED,5,11.6015625,6.275169048083984,22.98638114757777,17.81749193994338,17.11038961038961,9.8099294064924,-0.9790938668103937,1.4108081459174686,10
POS,WATERMARKED,6,12.83203125,5.197004687995844,20.8506499484185,13.938281241471874,20.148163855631317,8.555173857903092,-1.6226378830125454,1.2719071040480472,10
CHROM,ORIGINAL,1,5.009765625,4.293256866255887,14.47129216117085,14.074866310860118,10.795504234557672,9.613548826015304,5.252812707967443,0.5391247673742874,10
CHROM,ORIGINAL,2,6.93359375,6.331024552189429,20.219089228099943,19.627765632247954,13.949660323899675,12.878026451616416,-0.8162989323374084,0.8548714480101971,9
CHROM,ORIGINAL,3,0.439453125,0.2485922277608956,0.9006109071644178,0.7162294924762012,0.6776839762524834,0.3844120872586576,3.547714445036187,0.5749558040461652,10
CHROM,ORIGINAL,4,8.876953125,5.504507818437737,19.53961002722084,15.691883633188846,17.792664135899447,11.21158343404193,0.7523340931118442,0.8696763221811779,10
CHROM,ORIGINAL,5,0.615234375,0.5836625759490466,1.9455419198301553,1.8949651187420355,0.4545454545454546,0.4312196809320518,3.3660197747232643,0.916487048013338,10
CHROM,ORIGINAL,6,5.44921875,4.529224863997408,15.32425409838518,14.88494289959423,10.575967121074516,9.242307262572787,3.796162682397828,0.7755653356657146,10
CHROM,WATERMARKED,1,23.291015625,5.660934110467261,29.3757239719213,15.781901115287889,42.273803871733016,11.904626340097877,-5.2261812048464735,0.7193464173642071,10
CHROM,WATERMARKED,2,26.66015625,5.704328854105559,31.679934348992035,16.970520727796917,40.49983746042378,10.264139551778346,-6.367388517162861,0.9772465358961657,9
CHROM,WATERMARKED,3,34.1015625,8.038797713387108,42.53397761447881,25.1784843051511,58.14086459120902,16.724957789773743,-6.196671146752259,0.8769377741042272,10
CHROM,WATERMARKED,4,19.6435546875,4.576667475513925,24.399346150564636,13.501987725848336,32.85562747194982,9.00470170748579,-5.366920639907363,0.7189601428686802,10
CHROM,WATERMARKED,5,18.6328125,6.2960613472844695,27.268765768693154,18.58189595151363,31.61165162590894,12.110501249512449,-5.438056942588987,0.9149468450795413,10
CHROM,WATERMARKED,6,23.994140625,5.340467549118568,29.341518719455546,18.076793300643747,39.049132050447,10.778131583595972,-6.257273605876244,0.6421324089324328,10
GREEN,ORIGINAL,1,0.17578125,0.11117382399029457,0.3930588241698849,0.3125881775459044,0.21748135874067936,0.14783712965107135,4.5532618492237535,1.0893186301641418,10
GREEN,ORIGINAL,2,18.212890625,9.39661994567926,33.56154916791012,29.26023546582183,18.68051063776612,7.341929439016886,-5.082601777104397,1.1895353775207609,9
GREEN,ORIGINAL,3,12.3486328125,7.849240543293078,27.723536993008484,25.202500975876166,12.977658938148451,6.877946854703013,-1.7103393350095017,1.7769122695730621,10
GREEN,ORIGINAL,4,17.1826171875,8.165188068389433,31.01524295139186,27.650603379253734,19.643424686529066,6.647915701719829,-4.6366597260321205,1.9105441683034616,10
GREEN,ORIGINAL,5,11.25,8.033991601758673,27.7851167096935,26.476888866655067,11.331317712934847,6.271082345104899,-1.7869703032133692,1.53718923525682,10
GREEN,ORIGINAL,6,10.634765625,8.055740361633301,27.605212689620057,26.492231569960506,10.43232128811028,6.255385697768227,-2.856447893510656,1.5373970101794194,10
GREEN,WATERMARKED,1,33.837890625,7.004006056917492,40.442104920525985,23.826397749624707,61.78915006826678,16.3563304363623,-6.835709304738603,0.31075434533220375,10
GREEN,WATERMARKED,2,28.466796875,4.8650937190432195,31.99032285517253,16.766667071082132,40.88908130455922,7.662576973883706,-7.876407927222077,0.7720083006477818,9
GREEN,WATERMARKED,3,38.4521484375,7.409771335641233,45.02904431502448,24.559364541182042,65.73807201230704,15.916649656917397,-7.018241358988655,0.33064903593920286,10
