Method,Watermark_Status,Subject_ID,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,MAPE_Mean,MAPE_Std,SNR_Mean,SNR_Std,N_Trials
POS,ORIGINAL,1,0.0,0.0,0.0,0.0,0.0,0.0,6.488930260894816,1.1196551854873709,6
POS,ORIGINAL,10,0.439453125,0.17940598702025232,0.6214805694022391,0.3970907242426076,0.5045551896336476,0.2083828987491705,4.991645082354843,1.1038189630990243,6
POS,ORIGINAL,2,0.0732421875,0.06686066375795485,0.1794059870202523,0.17141215717681027,0.10224948875255624,0.09334058580524303,3.8611679806378407,1.0692607611322809,6
POS,ORIGINAL,3,0.29296875,0.2674426550318194,0.7176239480810092,0.6856486287072411,0.5128205128205129,0.4681389380386036,5.679651358619229,0.5140889863415702,6
POS,ORIGINAL,4,0.146484375,0.1337213275159097,0.3588119740405046,0.34282431435362054,0.24509803921568626,0.223742874797862,3.034048585248478,1.1261700139620634,6
POS,ORIGINAL,5,7.763671875,5.89739859823299,16.399709215144902,15.381991929536396,15.201465201465203,11.46823406237436,-1.2464322517111528,0.9651180458669699,6
POS,ORIGINAL,6,0.087890625,0.07861176483397697,0.19652941208494246,0.18586604240166166,0.12048192771084339,0.10776231216866457,5.76890285252298,0.7632167902333803,5
POS,ORIGINAL,7,0.732421875,0.38291960794331353,1.1900446881790958,1.0102164882290237,0.5634392485689811,0.2893464945585366,-0.03256424562539095,1.2636106408824226,6
POS,ORIGINAL,8,0.0,0.0,0.0,0.0,0.0,0.0,5.800949554414835,0.5822911199692465,6
POS,ORIGINAL,9,16.259765625,8.900055990150154,27.19643281658051,20.646003873837575,34.45540784619859,18.97512689967464,4.575942188289577,1.0753187264119624,6
POS,WATERMARKED,1,0.146484375,0.0845727933383241,0.25371838001497227,0.19278427924108776,0.19674072010585694,0.11362462573276474,2.624246206258828,0.8502176329056109,6
POS,WATERMARKED,10,1.5380859375,0.9015039276189823,2.6910898053037844,2.3732115625409085,1.873359230878388,1.0850077281320294,1.3750956712456592,0.6740148457225489,6
POS,WATERMARKED,2,1.904296875,1.5799501647815857,4.313212460254529,4.1124675580269034,2.3809843351658277,1.949998142274699,0.6843088500757409,0.948295681771331,6
POS,WATERMARKED,3,5.7861328125,3.8761889571790222,11.118829880631717,10.225172330640357,10.425845206849143,7.001289782926919,-3.3995940587495332,0.8003027567523793,6
POS,WATERMARKED,4,2.05078125,1.7166402178952098,4.678335768360736,4.45411571200289,3.0228758169934635,2.5006317996423966,0.5926218835312137,1.5555116270282856,6
POS,WATERMARKED,5,27.3193359375,2.7137523625458884,28.11641562108014,11.887617726640087,55.43331693513182,5.749885147157183,-5.196559362196473,0.6343052135540848,6
POS,WATERMARKED,6,3.69140625,2.924526704496387,7.509378291782986,7.053324478536039,5.133868808567604,3.9997840478327995,-2.090916879343417,1.148512859762692,5
POS,WATERMARKED,7,44.0185546875,3.009918268431138,44.63172419560151,16.146946407186896,33.83059241559575,2.1038167853644842,-9.544859195216159,0.5847821012087931,6
POS,WATERMARKED,8,7.6171875,6.794306828929978,18.302928102465557,17.48336843490361,16.28283388827229,14.597280487843092,-1.3045463460082016,0.5659180721132439,6
POS,WATERMARKED,9,47.607421875,3.4936856122302267,48.370462604019565,19.16235141586001,97.89061305019771,5.289543697570099,-4.225394614472587,0.42403721668883143,6
CHROM,ORIGINAL,1,0.0732421875,0.06686066375795485,0.1794059870202523,0.17141215717681027,0.10040160642570282,0.09165370774852177,4.076858401993677,1.339739012190853,6
CHROM,ORIGINAL,10,0.9521484375,0.33430331878977426,1.255841909141766,0.8537505439853575,1.2062243994177138,0.46170646243853947,4.137769048549198,1.0688051410414467,6
CHROM,ORIGINAL,2,0.146484375,0.0845727933383241,0.25371838001497227,0.19278427924108776,0.20707129168756674,0.11956650177695707,2.757534234982748,1.337433696256533,6
CHROM,ORIGINAL,3,0.439453125,0.27404717188285704,0.8023279650954582,0.6791282498773978,0.7773707773707774,0.48192755326027414,4.107500344021777,0.7294558645882044,6
CHROM,ORIGINAL,4,0.146484375,0.1337213275159097,0.3588119740405046,0.34282431435362054,0.24509803921568626,0.223742874797862,2.5380548322383025,1.1723787230750498,6
CHROM,ORIGINAL,5,16.845703125,9.91649812400199,29.56009682047142,23.71763386737127,33.64358342806619,19.937784051416447,-1.3860411256824177,0.6324928478362865,6
CHROM,ORIGINAL,6,0.3515625,0.3144470593359079,0.7861176483397698,0.7434641696066466,0.5555555555555556,0.49690399499995336,3.9614430256017235,1.105288364080166,5
CHROM,ORIGINAL,7,1.7578125,0.8789062500000001,2.779345599757365,2.3639438257653222,1.3210150061447388,0.6478474196196679,-0.32653682623732017,1.1800599771709661,6
CHROM,ORIGINAL,8,0.146484375,0.1337213275159097,0.3588119740405046,0.34282431435362054,0.24509803921568626,0.223742874797862,4.02201938671204,0.5455669206847988,6
CHROM,ORIGINAL,9,23.583984375,9.633320073401313,33.361796306851105,21.33905178714764,49.876273139225106,20.367148906011355,3.405596955642057,0.7843931878200363,6
CHROM,WATERMARKED,1,1.318359375,1.0461076799623317,2.881686851499903,2.7404661260120236,1.803166422917102,1.4345953161992642,-3.313003710884813,0.31798477439841916,6
