Method       , Watermark_Status, Dataset, Num_Trials, Num_Valid_Trials, MAE_Mean           , MAE_Std            , RMSE_Mean         , RMSE_Std           , MAPE_Mean           , MAPE_Std           , SNR_Mean           , SNR_Std            , Pearson_Correlation
POS          , ORIGINAL        , PURE   ,         59,               59,  2.621822033898305 , 1.2752566151780773 , 10.140238528565586,  7.605841882916891 ,   5.256146149126869 , 2.6581907474361155 , 3.8604160227348023 , 0.45134127998709966, 0.9098229519335911
POS          , WATERMARKED     , PURE   ,         59,               59, 14.345537605932204 , 2.508930795333057  , 24.02464858460324 , 11.129008312395236 ,  22.943937519287786 , 4.3813676918370605 , -2.0478418676255283, 0.5333022792400378 , 0.27371031132109835
CHROM        , ORIGINAL        , PURE   ,         59,               59,  4.51370497881356  , 1.7600780711275037 , 14.253004834319576,  9.507012494690782 ,   8.957806646413436 , 3.6467923176788672 , 2.7085380786665936 , 0.4078770903889855 , 0.82735184922
CHROM        , WATERMARKED     , PURE   ,         59,               59, 24.34868246822034  , 2.5577518097874132 , 31.286449188842077, 12.61773563160956  ,  40.74253107214054  , 5.073578957692112  , -5.799280204308118 , 0.3371477543223023 , -0.016281444912147613
GREEN        , ORIGINAL        , PURE   ,         59,               59, 11.522609904661017 , 3.168697632963628  , 26.928954225420647, 16.593243108127236 ,  12.104180264144548 , 2.6134832012072433 , -1.8663554250738736, 0.7539530706224379 , 0.20827163819826097
GREEN        , WATERMARKED     , PURE   ,         59,               59, 33.1153998940678   , 3.053640817165782  , 40.58063974753748 , 16.731797255356206 ,  56.061195213936806 , 6.358727227185303  , -7.0374545533602415, 0.1928180255135179 , 0.002256925673077545
DeepPhys     , ORIGINAL        , PURE   ,         59,               59,  5.779925847457627 , 2.38363316421222   , 19.199694253620756, 13.839474690386403 ,   5.664452659653668 , 1.9894826806919632 , 1.8640469636138106 , 0.6944248728721205 , 0.6453660385610446
DeepPhys     , WATERMARKED     , PURE   ,         59,               59, 20.751125529661017 , 2.3403747947685853 , 27.45492865346852 , 13.160527236115227 ,  28.493391104811707 , 2.385254859570216  , -6.63039022334551  , 0.32836363826830706, -0.052942531181337404
TSCAN        , ORIGINAL        , PURE   ,         59,               59,  3.024033368644068 , 1.656421212510533  , 13.077649657974089, 10.830700201742138 ,   2.630451357309847 , 1.2574924115136648 , 2.498813544242638  , 0.5508188019156821 , 0.8370291648896802
TSCAN        , WATERMARKED     , PURE   ,         59,               59, 18.449582891949152 , 2.245664302705631  , 25.25716908826558 , 12.119862144109044 ,  24.833307291093362 , 2.4394757294760874 , -6.712154580478294 , 0.2961953503555329 , 0.17053372919183618
FactorizePhys, ORIGINAL        , PURE   ,         59,               59,  0.6107653601694916, 0.21741473890317017,  1.778177515893915,  1.2514132498640307,   0.9118316557296973, 0.32738555571276035, 3.7248292922422492 , 0.37480072836617984, 0.9973080081970678
FactorizePhys, WATERMARKED     , PURE   ,         59,               59, 44.14641816737288  , 3.1416415292682784 , 50.311340823074026, 17.879155899102976 ,  74.94711824690006  , 6.7196326718463855 , -7.235157362273672 , 0.18588731752937038, -0.13562176871313836
RhythmFormer , ORIGINAL        , PURE   ,         59,               59,  1.3109110169491525, 1.019445505684153  ,  7.939481525822459,  7.860883307051446 ,   2.4910007054939416, 2.069887155204806  , 5.779347647656879  , 0.502257083674313  , 0.9449541071554238
RhythmFormer , WATERMARKED     , PURE   ,         59,               59, 71.14671610169492  , 3.701012516281696  , 76.61597312016553 , 21.983793606697652 , 119.9919543838376   , 8.34455735856991   , -7.664592447754732 , 0.21340467330234572, -0.07091406015124743
